time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,7,5,0,0
2024-04-18 00:00:00+00:00,1,1,14,3
2024-04-21 00:00:00+00:00,0,0,14,1
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-25 00:00:00+00:00,0,0,49,2
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-02 00:00:00+00:00,0,0,4,3
2024-05-06 00:00:00+00:00,1,1,1,1
2024-05-07 00:00:00+00:00,0,0,2,1
2024-05-11 00:00:00+00:00,1,1,0,0
2024-05-29 00:00:00+00:00,0,0,36,2
2024-05-30 00:00:00+00:00,0,0,3,1
2024-05-31 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,0,0,3,1
2024-06-02 00:00:00+00:00,0,0,12,2
2024-06-09 00:00:00+00:00,0,0,3,1
