time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-16 00:00:00+00:00,1,1,0,0
2024-04-17 00:00:00+00:00,19,7,3,1
2024-04-18 00:00:00+00:00,1,1,0,0
2024-04-19 00:00:00+00:00,68,11,4,2
2024-04-21 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,15,6,0,0
2024-04-26 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,1,1,1,1
2024-05-01 00:00:00+00:00,0,0,1,1
2024-05-03 00:00:00+00:00,6,2,0,0
2024-05-04 00:00:00+00:00,18,8,0,0
2024-05-06 00:00:00+00:00,22,7,8,2
2024-05-07 00:00:00+00:00,1,1,1,1
2024-05-08 00:00:00+00:00,10,2,0,0
2024-05-09 00:00:00+00:00,11,2,0,0
2024-05-10 00:00:00+00:00,0,0,1,1
2024-05-11 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,8,2,0,0
2024-05-14 00:00:00+00:00,1,1,0,0
2024-05-15 00:00:00+00:00,0,0,4,1
2024-05-16 00:00:00+00:00,0,0,2,1
2024-05-17 00:00:00+00:00,1,1,0,0
2024-05-19 00:00:00+00:00,1,1,0,0
2024-05-24 00:00:00+00:00,1,1,0,0
2024-05-27 00:00:00+00:00,1,1,0,0
