time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-20 00:00:00+00:00,0,0,13,2
2024-04-23 00:00:00+00:00,0,0,1,1
2024-04-24 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,5,1
2024-05-09 00:00:00+00:00,0,0,9,1
2024-05-13 00:00:00+00:00,0,0,2,2
2024-05-16 00:00:00+00:00,0,0,9,1
2024-05-17 00:00:00+00:00,0,0,6,1
2024-05-22 00:00:00+00:00,0,0,14,2
2024-05-27 00:00:00+00:00,0,0,1,1
2024-06-22 00:00:00+00:00,0,0,6,1
2024-06-23 00:00:00+00:00,1,1,30,1
2024-06-24 00:00:00+00:00,0,0,3,1
