time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,0,0,2,1
2024-05-03 00:00:00+00:00,1,1,0,0
2024-05-04 00:00:00+00:00,2,2,0,0
2024-05-05 00:00:00+00:00,1,1,0,0
2024-05-13 00:00:00+00:00,0,0,1,1
2024-05-15 00:00:00+00:00,0,0,5,1
2024-05-19 00:00:00+00:00,0,0,1,1
2024-05-20 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-27 00:00:00+00:00,0,0,2,1
2024-06-07 00:00:00+00:00,0,0,16,1
2024-06-09 00:00:00+00:00,0,0,1,1
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,2,1,0,0
2024-06-25 00:00:00+00:00,1,1,0,0
2024-07-05 00:00:00+00:00,0,0,1,1
2024-07-10 00:00:00+00:00,0,0,1,1
2024-07-11 00:00:00+00:00,0,0,1,1
2024-07-12 00:00:00+00:00,0,0,1,1
2024-07-21 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,1,1,1,1
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,1,1,1,1
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,3,3,0,0
2024-09-01 00:00:00+00:00,0,0,1,1
2024-09-12 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,3,3,0,0
2024-09-20 00:00:00+00:00,0,0,1,1
2024-09-27 00:00:00+00:00,2,2,0,0
