url_path,views_total,views_unique
/NFDI4Microbiota/MetadataStandards/tree/main/Technical,105,7
/NFDI4Microbiota/MetadataStandards,104,10
/NFDI4Microbiota/MetadataStandards/pulls,99,3
/NFDI4Microbiota/MetadataStandards/blob/main/Biological_Environmental/Human_BioEnv_Metadata.md,71,3
/NFDI4Microbiota/MetadataStandards/blob/magelm-patch-issue-40-bio-env-human/Biological_Environmental/Human_BioEnv_Metadata.md,70,2
/NFDI4Microbiota/MetadataStandards/tree/main/Biological_Environmental,58,5
/NFDI4Microbiota/MetadataStandards/issues,56,7
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/uVIGs_Technical_Metadata.md,36,4
/NFDI4Microbiota/MetadataStandards/tree/develop-bole/Biological_Environmental,31,2
/NFDI4Microbiota/MetadataStandards/blob/main/Technical/Genome_Technical_Metadata.md,30,4
