time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-11 00:00:00+00:00,15.0,13.0,173.0,6.0
2024-08-12 00:00:00+00:00,16.0,14.0,1003.0,29.0
2024-08-13 00:00:00+00:00,,,16.0,2.0
2024-08-14 00:00:00+00:00,1.0,1.0,192.0,8.0
2024-08-15 00:00:00+00:00,2.0,2.0,63.0,2.0
2024-08-16 00:00:00+00:00,5.0,2.0,133.0,16.0
2024-08-17 00:00:00+00:00,2.0,2.0,,
2024-08-19 00:00:00+00:00,2.0,2.0,69.0,2.0
2024-08-20 00:00:00+00:00,,,2.0,2.0
2024-08-21 00:00:00+00:00,,,2.0,1.0
2024-08-23 00:00:00+00:00,1.0,1.0,2.0,1.0
