time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-17 00:00:00+00:00,0,0,3,2
2024-04-18 00:00:00+00:00,0,0,7,3
2024-04-23 00:00:00+00:00,0,0,3,2
2024-04-24 00:00:00+00:00,0,0,13,3
2024-04-25 00:00:00+00:00,0,0,16,1
2024-04-27 00:00:00+00:00,1,1,2,1
2024-04-29 00:00:00+00:00,1,1,253,28
2024-04-30 00:00:00+00:00,0,0,1,1
2024-05-01 00:00:00+00:00,0,0,6,3
2024-05-02 00:00:00+00:00,0,0,6,1
2024-05-03 00:00:00+00:00,0,0,18,2
2024-05-04 00:00:00+00:00,0,0,1,1
2024-05-06 00:00:00+00:00,1,1,4,2
2024-05-07 00:00:00+00:00,0,0,26,5
2024-05-09 00:00:00+00:00,0,0,3,1
2024-05-10 00:00:00+00:00,0,0,6,1
2024-05-13 00:00:00+00:00,0,0,4,2
2024-05-14 00:00:00+00:00,0,0,31,4
2024-05-15 00:00:00+00:00,0,0,6,1
2024-05-16 00:00:00+00:00,2,2,14,3
2024-05-17 00:00:00+00:00,0,0,14,2
2024-05-18 00:00:00+00:00,0,0,3,1
2024-05-20 00:00:00+00:00,0,0,3,1
2024-05-21 00:00:00+00:00,1,1,20,2
2024-05-22 00:00:00+00:00,0,0,94,8
2024-05-23 00:00:00+00:00,0,0,9,3
