time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-24 00:00:00+00:00,4.0,2.0,13.0,2.0
2024-04-25 00:00:00+00:00,,,1.0,1.0
2024-04-26 00:00:00+00:00,,,2.0,1.0
2024-04-27 00:00:00+00:00,2.0,2.0,5.0,3.0
2024-04-29 00:00:00+00:00,5.0,3.0,14.0,3.0
2024-05-01 00:00:00+00:00,,,1.0,1.0
2024-05-02 00:00:00+00:00,1.0,1.0,60.0,2.0
2024-05-03 00:00:00+00:00,,,34.0,3.0
2024-05-04 00:00:00+00:00,1.0,1.0,,
2024-05-06 00:00:00+00:00,6.0,4.0,9.0,3.0
2024-05-07 00:00:00+00:00,1.0,1.0,35.0,3.0
