time_iso8601,stars_cumulative
2022-08-22 00:00:00+00:00,2
2022-08-24 00:00:00+00:00,3
2022-08-25 00:00:00+00:00,5
2022-09-03 00:00:00+00:00,6
2022-09-21 00:00:00+00:00,7
2022-10-24 00:00:00+00:00,8
2022-11-18 00:00:00+00:00,9
2023-01-08 00:00:00+00:00,10
2023-01-30 00:00:00+00:00,11
2023-05-16 00:00:00+00:00,12
2023-09-14 00:00:00+00:00,13
2023-09-24 00:00:00+00:00,15
2023-11-18 00:00:00+00:00,16
2023-12-30 00:00:00+00:00,17
2024-02-07 00:00:00+00:00,18
2024-02-09 00:00:00+00:00,19
2024-02-16 00:00:00+00:00,21
2024-04-01 00:00:00+00:00,22
2024-04-10 00:00:00+00:00,23
2024-07-16 00:00:00+00:00,24
