time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-29 00:00:00+00:00,0,0,1,1
2024-04-30 00:00:00+00:00,0,0,2,1
2024-05-06 00:00:00+00:00,0,0,2,1
2024-05-07 00:00:00+00:00,0,0,11,4
2024-05-08 00:00:00+00:00,0,0,18,4
2024-05-09 00:00:00+00:00,0,0,1,1
2024-05-10 00:00:00+00:00,0,0,2,2
2024-05-13 00:00:00+00:00,0,0,7,2
2024-05-14 00:00:00+00:00,0,0,3,2
2024-05-15 00:00:00+00:00,0,0,1,1
2024-05-20 00:00:00+00:00,0,0,1,1
2024-05-23 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,0,0,2,1
2024-05-29 00:00:00+00:00,1,1,0,0
2024-05-30 00:00:00+00:00,0,0,2,1
